"","xgboost","cubist","deepLearning","rf","LSTM","avg","median","real_peak"
"88",2017-03-29 19:55:00,2017-03-29 18:55:00,2017-03-29 23:30:00,2017-03-29 20:15:00,2017-03-29 20:05:00,2017-03-29 20:39:00,2017-03-29 20:40:00,2017-03-29 20:10:00
"89",2017-03-30 19:45:00,2017-03-30 19:50:00,2017-03-30 15:55:00,2017-03-30 19:45:00,2017-03-30 19:45:00,2017-03-30 19:11:00,2017-03-30 20:40:00,2017-03-30 20:00:00
"90",2017-03-31 20:00:00,2017-03-31 20:55:00,2017-03-31 13:00:00,2017-03-31 20:00:00,2017-03-31 21:00:00,2017-03-31 18:59:00,2017-03-31 21:00:00,2017-03-31 20:00:00
"91",2017-04-01 18:50:00,2017-04-01 19:00:00,2017-04-01 19:55:00,2017-04-01 19:00:00,2017-04-01 19:30:00,2017-04-01 19:21:00,2017-04-01 20:00:00,2017-04-01 19:10:00
"92",2017-04-02 20:15:00,2017-04-02 19:35:00,2017-04-02 19:45:00,2017-04-02 20:00:00,2017-04-02 20:40:00,2017-04-02 20:03:00,2017-04-02 20:40:00,2017-04-02 19:50:00
"93",2017-04-03 19:45:00,2017-04-03 20:00:00,2017-04-03 22:00:00,2017-04-03 19:50:00,2017-04-03 21:00:00,2017-04-03 20:27:00,2017-04-03 20:40:00,2017-04-03 20:15:00
"94",2017-04-04 20:00:00,2017-04-04 19:55:00,2017-04-04 19:05:00,2017-04-04 21:00:00,2017-04-04 20:00:00,2017-04-04 20:08:00,2017-04-04 20:40:00,2017-04-04 20:25:00
"95",2017-04-05 19:50:00,2017-04-05 20:00:00,2017-04-05 20:00:00,2017-04-05 19:55:00,2017-04-05 20:00:00,2017-04-05 20:05:00,2017-04-05 20:40:00,2017-04-05 20:20:00
"96",2017-04-06 21:25:00,2017-04-06 20:40:00,2017-04-06 19:20:00,2017-04-06 21:00:00,2017-04-06 21:00:00,2017-04-06 20:41:00,2017-04-06 21:00:00,2017-04-06 20:25:00
"97",2017-04-07 21:00:00,2017-04-07 20:05:00,2017-04-07 20:00:00,2017-04-07 20:15:00,2017-04-07 20:00:00,2017-04-07 20:28:00,2017-04-07 21:00:00,2017-04-07 20:30:00
"98",2017-04-08 20:05:00,2017-04-08 20:20:00,2017-04-08 17:55:00,2017-04-08 20:00:00,2017-04-08 20:05:00,2017-04-08 19:48:00,2017-04-08 20:40:00,2017-04-08 20:25:00
"99",2017-04-09 21:00:00,2017-04-09 20:25:00,2017-04-09 20:35:00,2017-04-09 20:15:00,2017-04-09 20:35:00,2017-04-09 20:35:00,2017-04-09 20:40:00,2017-04-09 20:20:00
"100",2017-04-10 20:15:00,2017-04-10 20:15:00,2017-04-10 20:30:00,2017-04-10 20:20:00,2017-04-10 20:30:00,2017-04-10 20:24:00,2017-04-10 20:40:00,2017-04-10 20:35:00
"101",2017-04-11 20:15:00,2017-04-11 20:05:00,2017-04-11 20:25:00,2017-04-11 20:35:00,2017-04-11 20:35:00,2017-04-11 20:24:00,2017-04-11 20:40:00,2017-04-11 20:30:00
"102",2017-04-12 19:50:00,2017-04-12 20:20:00,2017-04-12 20:25:00,2017-04-12 20:20:00,2017-04-12 20:05:00,2017-04-12 20:19:00,2017-04-12 20:40:00,2017-04-12 20:20:00
"103",2017-04-13 21:00:00,2017-04-13 20:40:00,2017-04-13 19:50:00,2017-04-13 21:00:00,2017-04-13 20:40:00,2017-04-13 20:29:00,2017-04-13 19:55:00,2017-04-13 20:20:00
"104",2017-04-14 20:20:00,2017-04-14 19:55:00,2017-04-14 20:45:00,2017-04-14 20:15:00,2017-04-14 20:40:00,2017-04-14 20:23:00,2017-04-14 20:40:00,2017-04-14 20:15:00
"105",2017-04-15 20:05:00,2017-04-15 20:10:00,2017-04-15 20:00:00,2017-04-15 20:10:00,2017-04-15 20:05:00,2017-04-15 20:13:00,2017-04-15 20:40:00,2017-04-15 20:20:00
"106",2017-04-16 21:00:00,2017-04-16 20:30:00,2017-04-16 21:00:00,2017-04-16 20:35:00,2017-04-16 20:40:00,2017-04-16 20:36:00,2017-04-16 19:55:00,2017-04-16 20:20:00
"107",2017-04-17 19:50:00,2017-04-17 20:40:00,2017-04-17 19:30:00,2017-04-17 20:20:00,2017-04-17 20:40:00,2017-04-17 20:12:00,2017-04-17 20:40:00,2017-04-17 20:35:00
"108",2017-04-18 19:50:00,2017-04-18 19:40:00,2017-04-18 20:55:00,2017-04-18 19:55:00,2017-04-18 20:10:00,2017-04-18 20:06:00,2017-04-18 20:10:00,2017-04-18 15:55:00
"109",2017-04-19 19:55:00,2017-04-19 21:00:00,2017-04-19 19:55:00,2017-04-19 21:00:00,2017-04-19 21:00:00,2017-04-19 20:30:00,2017-04-19 20:40:00,2017-04-19 20:15:00
"110",2017-04-20 13:45:00,2017-04-20 15:35:00,2017-04-20 18:00:00,2017-04-20 15:45:00,2017-04-20 21:00:00,2017-04-20 16:38:00,2017-04-20 20:05:00,2017-04-20 13:30:00
"111",2017-04-21 22:00:00,2017-04-21 22:45:00,2017-04-21 21:20:00,2017-04-21 22:00:00,2017-04-21 22:00:00,2017-04-21 21:45:00,2017-04-21 20:40:00,2017-04-21 20:35:00
"112",2017-04-22 20:15:00,2017-04-22 21:05:00,2017-04-22 17:55:00,2017-04-22 19:35:00,2017-04-22 19:55:00,2017-04-22 19:45:00,2017-04-22 19:55:00,2017-04-22 20:30:00
"113",2017-04-23 19:55:00,2017-04-23 20:05:00,2017-04-23 20:30:00,2017-04-23 21:00:00,2017-04-23 20:40:00,2017-04-23 20:17:00,2017-04-23 19:55:00,2017-04-23 20:10:00
"114",2017-04-24 16:00:00,2017-04-24 20:10:00,2017-04-24 21:55:00,2017-04-24 12:50:00,2017-04-24 20:05:00,2017-04-24 18:19:00,2017-04-24 20:40:00,2017-04-24 20:35:00
"115",2017-04-25 16:00:00,2017-04-25 14:05:00,2017-04-25 18:00:00,2017-04-25 16:00:00,2017-04-25 19:55:00,2017-04-25 16:57:00,2017-04-25 20:40:00,2017-04-25 20:15:00
"116",2017-04-26 20:35:00,2017-04-26 20:15:00,2017-04-26 21:05:00,2017-04-26 15:50:00,2017-04-26 20:40:00,2017-04-26 19:41:00,2017-04-26 20:40:00,2017-04-26 15:35:00
"117",2017-04-27 16:00:00,2017-04-27 18:10:00,2017-04-27 21:00:00,2017-04-27 16:00:00,2017-04-27 20:10:00,2017-04-27 18:22:00,2017-04-27 20:40:00,2017-04-27 15:55:00
"118",2017-04-28 15:50:00,2017-04-28 14:50:00,2017-04-28 19:30:00,2017-04-28 18:55:00,2017-04-28 19:55:00,2017-04-28 17:57:00,2017-04-28 20:40:00,2017-04-28 20:35:00
"119",2017-04-29 21:00:00,2017-04-29 21:00:00,2017-04-29 21:30:00,2017-04-29 20:20:00,2017-04-29 21:00:00,2017-04-29 20:54:00,2017-04-29 20:40:00,2017-04-29 20:50:00
"120",2017-04-30 20:45:00,2017-04-30 21:00:00,2017-04-30 21:00:00,2017-04-30 21:00:00,2017-04-30 21:00:00,2017-04-30 20:53:00,2017-04-30 20:40:00,2017-04-30 20:35:00
"121",2017-05-01 19:40:00,2017-05-01 19:30:00,2017-05-01 17:00:00,2017-05-01 15:00:00,2017-05-01 19:40:00,2017-05-01 18:10:00,2017-05-01 19:40:00,2017-05-01 14:35:00
"122",2017-05-02 18:50:00,2017-05-02 17:55:00,2017-05-02 20:25:00,2017-05-02 21:00:00,2017-05-02 20:30:00,2017-05-02 19:50:00,2017-05-02 21:00:00,2017-05-02 20:40:00
"123",2017-05-03 21:00:00,2017-05-03 20:05:00,2017-05-03 22:00:00,2017-05-03 21:00:00,2017-05-03 20:05:00,2017-05-03 20:57:00,2017-05-03 20:40:00,2017-05-03 20:40:00
"124",2017-05-04 18:55:00,2017-05-04 20:25:00,2017-05-04 22:35:00,2017-05-04 20:40:00,2017-05-04 20:40:00,2017-05-04 20:39:00,2017-05-04 20:40:00,2017-05-04 20:25:00
"125",2017-05-05 14:45:00,2017-05-05 17:00:00,2017-05-05 17:00:00,2017-05-05 20:20:00,2017-05-05 20:05:00,2017-05-05 17:48:00,2017-05-05 19:55:00,2017-05-05 16:45:00
"126",2017-05-06 20:40:00,2017-05-06 20:20:00,2017-05-06 22:00:00,2017-05-06 21:00:00,2017-05-06 20:40:00,2017-05-06 20:56:00,2017-05-06 20:40:00,2017-05-06 21:05:00
"127",2017-05-07 18:50:00,2017-05-07 20:35:00,2017-05-07 17:55:00,2017-05-07 20:40:00,2017-05-07 20:40:00,2017-05-07 19:44:00,2017-05-07 20:40:00,2017-05-07 21:15:00
"128",2017-05-08 20:45:00,2017-05-08 20:35:00,2017-05-08 20:00:00,2017-05-08 21:00:00,2017-05-08 20:40:00,2017-05-08 20:36:00,2017-05-08 20:40:00,2017-05-08 20:50:00
